GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lf2u,org.huzair.entities,Farmer,5,144,8,10,1,36,7,16,0,14
lf2u,org.huzair.entities,Customer,18,118,9,1,3,28,6,12,1,12
lf2u,org.huzair.entities,Manager,0,30,0,0,0,11,0,4,0,4
lf2u,org.huzair.entities,ProductCatalog,2,38,1,1,1,15,1,8,0,8
lf2u,org.huzair.entities,OrderDetail,44,42,1,3,3,12,2,6,1,5
lf2u,org.huzair.entities,Search,22,158,8,18,5,40,6,12,0,5
lf2u,org.huzair.entities,Store,0,17,0,0,0,5,0,3,0,3
lf2u,org.huzair.entities,StoreProduct,35,126,11,7,4,36,11,14,2,14
lf2u,org.huzair.entities,FarmInfo,5,65,3,3,2,11,4,3,1,3
lf2u,org.huzair.entities,Order,90,182,6,10,11,57,7,25,3,21
lf2u,org.huzair.entities,PersonalInfo,11,56,5,1,2,10,4,3,1,3
lf2u,org.huzair.report,FarmerReport,55,0,6,0,16,0,4,0,1,0
lf2u,org.huzair.report,OrderReport,0,68,0,0,0,17,0,2,0,2
lf2u,org.huzair.report,FarmerReportType,22,67,4,0,7,18,3,4,1,4
lf2u,org.huzair.report,FarmerReportByOId,70,0,0,0,18,0,1,0,1,0
lf2u,org.huzair.report,ManagerReport,26,0,0,0,8,0,1,0,1,0
lf2u,org.huzair.report,ManagerReportType,22,78,4,0,7,20,3,4,1,4
lf2u,org.huzair.use_cases,LF2UManager,2,149,1,13,1,49,1,17,0,11
lf2u,org.huzair.use_cases,FarmerManager,10,254,6,22,4,82,6,26,0,18
lf2u,org.huzair.use_cases,CustomerManager,14,284,5,27,4,90,6,24,1,13
lf2u,org.huzair.use_cases,DeliveryManager,0,32,0,2,0,9,0,3,0,2
lf2u,org.huzair.rest,RESTDelivery,62,0,2,0,14,0,3,0,2,0
lf2u,org.huzair.rest,RESTSearch,42,0,0,0,9,0,2,0,2,0
lf2u,org.huzair.rest,GET_Order,64,0,4,0,19,0,5,0,3,0
lf2u,org.huzair.rest,GET_FarmerZip,45,0,2,0,14,0,4,0,3,0
lf2u,org.huzair.rest,GET_Store,38,0,2,0,12,0,3,0,2,0
lf2u,org.huzair.rest,RESTManager,86,111,7,5,19,25,7,7,2,6
lf2u,org.huzair.rest,RESTCustomer,333,0,24,0,75,0,20,0,8,0
lf2u,org.huzair.rest,RESTFarmer,468,0,26,0,87,0,26,0,13,0
lf2u,org.huzair.rest,GET_Farmer,50,0,2,0,15,0,4,0,3,0
